0 0 0 1.496e+11 0 1.5e+11 0
0.1 2.974297591e-11 1.95875778e-19 1.496e+11 2978 1.5e+11 3001
0.2 1.189719036e-10 1.578877484e-18 1.496e+11 5956 1.5e+11 6002
0.3 2.676867832e-10 5.336131044e-18 1.496e+11 8934 1.5e+11 9003
0.4 4.758876146e-10 1.265476239e-17 1.496e+11 11912 1.5e+11 12004
0.5 7.435743978e-10 2.472189744e-17 1.496e+11 14890 1.5e+11 15005
0.6 1.070747133e-09 4.272466213e-17 1.496e+11 17868 1.5e+11 18006
0.7 1.45740582e-09 6.785018239e-17 1.496e+11 20846 1.5e+11 21007
0.8 1.903550458e-09 1.012855841e-16 1.496e+11 23824 1.5e+11 24008
0.9 2.409181049e-09 1.442179933e-16 1.496e+11 26802 1.5e+11 27009
1 2.974297591e-09 1.978345358e-16 1.496e+11 29780 1.5e+11 30010
1.1 3.598900085e-09 2.633223376e-16 1.496e+11 32758 1.5e+11 33011
1.2 4.282988531e-09 3.418685246e-16 1.496e+11 35736 1.5e+11 36012
1.3 5.026562929e-09 4.346602227e-16 1.496e+11 38714 1.5e+11 39013
1.4 5.829623278e-09 5.428845579e-16 1.496e+11 41692 1.5e+11 42014
1.5 6.69216958e-09 6.677286561e-16 1.496e+11 44670 1.5e+11 45015
1.6 7.614201833e-09 8.103796431e-16 1.496e+11 47648 1.5e+11 48016
1.7 8.595720038e-09 9.720246451e-16 1.496e+11 50626 1.5e+11 51017
1.8 9.636724195e-09 1.153850788e-15 1.496e+11 53604 1.5e+11 54018
1.9 1.07372143e-08 1.357045197e-15 1.496e+11 56582 1.5e+11 57019
2 1.189719036e-08 1.582794999e-15 1.496e+11 59560 1.5e+11 60020
2.1 1.311665238e-08 1.83228732e-15 1.496e+11 62538 1.5e+11 63021
2.2 1.439560034e-08 2.106709285e-15 1.496e+11 65516 1.5e+11 66022
2.3 1.573403426e-08 2.40724802e-15 1.496e+11 68494 1.5e+11 69023
2.4 1.713195412e-08 2.735090652e-15 1.496e+11 71472 1.5e+11 72024
2.5 1.858935994e-08 3.091424306e-15 1.496e+11 74450 1.5e+11 75025
2.6 2.010625172e-08 3.477436108e-15 1.496e+11 77428 1.5e+11 78026
2.7 2.168262944e-08 3.894313184e-15 1.496e+11 80406 1.5e+11 81027
2.8 2.331849311e-08 4.343242661e-15 1.496e+11 83384 1.5e+11 84028
2.9 2.501384274e-08 4.825411663e-15 1.496e+11 86362 1.5e+11 87029
3 2.676867832e-08 5.342007317e-15 1.496e+11 89340 1.5e+11 90030
3.1 2.858299985e-08 5.894216749e-15 1.496e+11 92318 1.5e+11 93031
3.2 3.045680733e-08 6.483227085e-15 1.496e+11 95296 1.5e+11 96032
3.3 3.239010077e-08 7.110225451e-15 1.496e+11 98274 1.5e+11 99033
3.4 3.438288015e-08 7.776398972e-15 1.496e+11 101252 1.5e+11 102034
3.5 3.643514549e-08 8.482934775e-15 1.496e+11 104230 1.5e+11 105035
3.6 3.854689678e-08 9.231019985e-15 1.496e+11 107208 1.5e+11 108036
3.7 4.071813402e-08 1.002184173e-14 1.496e+11 110186 1.5e+11 111037
3.8 4.294885721e-08 1.085658713e-14 1.496e+11 113164 1.5e+11 114038
3.9 4.523906636e-08 1.173644332e-14 1.496e+11 116142 1.5e+11 117039
4 4.758876146e-08 1.266259742e-14 1.496e+11 119120 1.5e+11 120040
4.1 4.999794251e-08 1.363623655e-14 1.496e+11 122098 1.5e+11 123041
4.2 5.246660951e-08 1.465854785e-14 1.496e+11 125076 1.5e+11 126042
4.3 5.499476246e-08 1.573071844e-14 1.496e+11 128054 1.5e+11 129043
4.4 5.758240136e-08 1.685393545e-14 1.496e+11 131032 1.5e+11 132044
4.5 6.022952622e-08 1.802938599e-14 1.496e+11 134010 1.5e+11 135045
4.6 6.293613703e-08 1.92582572e-14 1.496e+11 136988 1.5e+11 138046
4.7 6.570223379e-08 2.05417362e-14 1.496e+11 139966 1.5e+11 141047
4.8 6.85278165e-08 2.188101013e-14 1.496e+11 142944 1.5e+11 144048
4.9 7.141288516e-08 2.327726609e-14 1.496e+11 145922 1.5e+11 147049
5 7.435743978e-08 2.473169123e-14 1.496e+11 148900 1.5e+11 150050
5.1 7.736148034e-08 2.624547266e-14 1.496e+11 151878 1.5e+11 153051
5.2 8.042500686e-08 2.781979752e-14 1.496e+11 154856 1.5e+11 156052
5.3 8.354801933e-08 2.945585292e-14 1.496e+11 157834 1.5e+11 159053
5.4 8.673051775e-08 3.1154826e-14 1.496e+11 160812 1.5e+11 162054
5.5 8.997250213e-08 3.291790388e-14 1.496e+11 163790 1.5e+11 165055
5.6 9.327397246e-08 3.474627368e-14 1.496e+11 166768 1.5e+11 168056
5.7 9.663492873e-08 3.664112254e-14 1.496e+11 169746 1.5e+11 171057
5.8 1.00055371e-07 3.860363757e-14 1.496e+11 172724 1.5e+11 174058
5.9 1.035352991e-07 4.063500591e-14 1.496e+11 175702 1.5e+11 177059
6 1.070747133e-07 4.273641468e-14 1.496e+11 178680 1.5e+11 180060
6.1 1.106736134e-07 4.4909051e-14 1.496e+11 181658 1.5e+11 183061
6.2 1.143319994e-07 4.7154102e-14 1.496e+11 184636 1.5e+11 186062
6.3 1.180498714e-07 4.947275482e-14 1.496e+11 187614 1.5e+11 189063
6.4 1.218272293e-07 5.186619656e-14 1.496e+11 190592 1.5e+11 192064
6.5 1.256640732e-07 5.433561437e-14 1.496e+11 193570 1.5e+11 195065
6.6 1.295604031e-07 5.688219536e-14 1.496e+11 196548 1.5e+11 198066
6.7 1.335162189e-07 5.950712666e-14 1.496e+11 199526 1.5e+11 201067
6.8 1.375315206e-07 6.22115954e-14 1.496e+11 202504 1.5e+11 204068
6.9 1.416063083e-07 6.49967887e-14 1.496e+11 205482 1.5e+11 207069
7 1.45740582e-07 6.786389369e-14 1.496e+11 208460 1.5e+11 210070
7.1 1.499343416e-07 7.08140975e-14 1.496e+11 211438 1.5e+11 213071
7.2 1.541875871e-07 7.384858724e-14 1.496e+11 214416 1.5e+11 216072
7.3 1.585003186e-07 7.696855006e-14 1.496e+11 217394 1.5e+11 219073
7.4 1.628725361e-07 8.017517306e-14 1.496e+11 220372 1.5e+11 222074
7.5 1.673042395e-07 8.346964339e-14 1.496e+11 223350 1.5e+11 225075
7.6 1.717954289e-07 8.685314816e-14 1.496e+11 226328 1.5e+11 228076
7.7 1.763461042e-07 9.032687449e-14 1.496e+11 229306 1.5e+11 231077
7.8 1.809562654e-07 9.389200953e-14 1.496e+11 232284 1.5e+11 234078
7.9 1.856259127e-07 9.754974039e-14 1.496e+11 235262 1.5e+11 237079
8 1.903550458e-07 1.013012542e-13 1.496e+11 238240 1.5e+11 240080
8.1 1.951436649e-07 1.051477381e-13 1.496e+11 241218 1.5e+11 243081
8.2 1.9999177e-07 1.090903792e-13 1.496e+11 244196 1.5e+11 246082
8.3 2.04899361e-07 1.131303646e-13 1.496e+11 247174 1.5e+11 249083
8.4 2.09866438e-07 1.172688814e-13 1.496e+11 250152 1.5e+11 252084
8.5 2.14893001e-07 1.215071169e-13 1.496e+11 253130 1.5e+11 255085
8.6 2.199790498e-07 1.25846258e-13 1.496e+11 256108 1.5e+11 258086
8.7 2.251245847e-07 1.30287492e-13 1.496e+11 259086 1.5e+11 261087
8.8 2.303296055e-07 1.348320059e-13 1.496e+11 262064 1.5e+11 264088
8.9 2.355941122e-07 1.394809869e-13 1.496e+11 265042 1.5e+11 267089
9 2.409181049e-07 1.442356221e-13 1.496e+11 268020 1.5e+11 270090
